time,approved,failed,denied,reversed,refunded,processing,backend_reversed
17h 18,89,,26,48,5,5,11
19h 05,206,,26,2,,,
19h 06,190,,26,3,,,
19h 30,185,,26,1,1,1,
19h 31,192,,26,1,1,,
19h 39,163,,26,6,1,,
19h 40,142,,26,1,,,
20h 06,162,,26,2,,,
20h 20,134,,26,4,2,,
20h 36,146,,26,3,,,
08h 17,164,,27,,1,,
08h 46,212,,27,1,,,1
08h 59,231,,27,1,2,,
09h 12,279,,27,1,1,,2
10h 09,357,,27,5,,,
12h 01,332,,27,1,1,,1
12h 09,359,,27,2,,,
12h 22,300,,27,1,,,1
12h 25,314,,27,1,1,,
12h 42,278,,27,,2,,1
12h 53,316,,27,1,,,1
12h 58,308,,27,6,,,1
13h 06,271,,27,1,,,
13h 13,283,,27,1,,,1
13h 15,292,,27,3,1,,
14h 07,316,,27,1,1,,
14h 17,298,,27,2,1,,
14h 19,328,,27,1,2,,
16h 55,102,,27,131,2,7,5
18h 45,251,,27,3,1,,
18h 54,222,,27,4,,,
18h 57,255,,27,3,1,,
19h 16,207,,27,1,1,,1
19h 21,184,,27,3,1,,
19h 50,167,,27,1,,,
20h 30,156,,27,4,1,,1
08h 45,219,,28,1,,,
09h 07,279,,28,1,,,1
09h 18,295,,28,1,1,,
09h 40,340,,28,4,4,,2
10h 34,351,,28,1,,,1
10h 50,373,,28,1,,,2
11h 02,354,,28,,,,4
11h 09,379,,28,5,,,1
11h 41,349,,28,1,,,
11h 57,337,,28,1,,,
12h 28,287,1,28,2,,,
12h 56,286,,28,3,,,1
12h 57,259,,28,1,,,1
12h 59,293,,28,,,,4
13h 29,271,,28,1,,,
13h 35,252,,28,,,,
13h 37,290,,28,,,,
13h 42,283,,28,3,,,
14h 10,292,,28,1,,,
14h 26,310,,28,1,1,,
15h 08,175,,28,55,2,10,2
15h 42,166,,28,55,4,7,5
16h 22,131,,28,96,3,2,5
18h 18,145,1,28,84,9,3,7
19h 08,225,,28,2,1,,
19h 13,174,,28,4,,,
19h 48,173,,28,2,,,
08h 41,215,,29,3,,,
09h 25,333,,29,,,,1
09h 33,315,,29,1,,,
09h 52,324,,29,3,1,,
10h 05,335,,29,4,1,,2
10h 08,360,,29,3,1,,3
10h 21,332,,29,1,1,,1
10h 40,375,,29,4,,,1
11h 32,351,,29,3,,,1
11h 39,371,,29,2,,,
12h 35,292,,29,2,1,,4
12h 47,273,1,29,,,,
12h 50,285,,29,2,,,
13h 10,292,1,29,1,1,,
13h 21,274,,29,3,,,
13h 33,283,,29,,1,,1
13h 45,306,,29,1,,,
14h 21,322,,29,2,,,
14h 22,340,,29,,,,
18h 19,237,,29,106,3,8,6
18h 51,227,,29,2,4,,
18h 52,231,,29,3,,,
19h 01,235,,29,1,2,,
20h 03,160,,29,1,,,
20h 13,133,,29,1,,,
08h 24,201,,30,1,,,
08h 44,213,,30,1,,,
08h 57,218,,30,2,,,
09h 10,251,,30,1,,,1
09h 20,301,,30,2,,,1
09h 35,322,,30,5,1,,
09h 48,340,,30,2,3,,1
10h 03,360,,30,4,,,2
10h 12,348,,30,4,,,1
10h 18,347,,30,3,,,
10h 31,373,1,30,3,,,1
10h 36,365,,30,2,,,2
11h 25,391,,30,3,2,,1
12h 12,312,,30,2,,,
12h 16,307,,30,1,1,,1
12h 45,264,,30,1,,,
13h 12,242,,30,5,1,,
13h 44,307,,30,1,,,
13h 46,296,,30,,1,,
13h 49,301,,30,,,,
13h 51,300,,30,1,,,
13h 52,274,,30,1,2,,
13h 56,266,,30,3,1,,1
